state,year,diabetes_prevalence_pct,n
Alabama,2019,13.96,7039
Alabama,2020,14.85,5330
Alabama,2021,15.06,4580
Alabama,2022,15.54,4496
Alabama,2023,15.7,4354
Alaska,2019,7.27,2972
Alaska,2020,7.64,3667
Alaska,2021,8.34,5479
Alaska,2022,8.72,5849
Alaska,2023,8.72,5511
Arizona,2019,10.94,8925
Arizona,2020,10.99,10268
Arizona,2021,11.04,10633
Arizona,2022,12.73,10148
Arizona,2023,11.4,12004
Arkansas,2019,13.61,5345
Arkansas,2020,13.2,5234
Arkansas,2021,12.46,5361
Arkansas,2022,15.72,5285
Arkansas,2023,14.53,5343
California,2019,10.1,11594
California,2020,9.84,4792
California,2021,11.61,6724
California,2022,11.52,10883
California,2023,11.49,11925
Colorado,2019,7.0,9297
Colorado,2020,7.56,10163
Colorado,2021,7.0,10461
Colorado,2022,8.11,9341
Colorado,2023,8.62,8772
Connecticut,2019,9.57,9145
Connecticut,2020,9.46,8957
Connecticut,2021,10.83,8327
Connecticut,2022,10.74,9758
Connecticut,2023,9.9,9483
DC,2019,8.67,2613
DC,2020,7.53,3422
DC,2021,7.69,3188
DC,2022,8.03,3231
DC,2023,7.42,3201
Delaware,2019,12.78,3889
Delaware,2020,12.43,4018
Delaware,2021,11.95,3633
Delaware,2022,13.86,3982
Delaware,2023,13.32,4274
Florida,2019,11.69,16907
Florida,2020,11.79,11785
Florida,2022,12.21,13356
Florida,2023,12.54,13214
Georgia,2019,11.95,7336
Georgia,2020,11.58,9062
Georgia,2021,12.27,8167
Georgia,2022,12.08,9221
Georgia,2023,12.73,8207
Guam,2019,11.71,2416
Guam,2020,14.68,2181
Guam,2021,11.5,1652
Guam,2022,21.63,2261
Guam,2023,16.39,1553
Hawaii,2019,10.48,7666
Hawaii,2020,10.91,7741
Hawaii,2021,9.48,7772
Hawaii,2022,11.74,7739
Hawaii,2023,11.27,7821
Idaho,2019,10.26,5463
Idaho,2020,8.79,5973
Idaho,2021,9.76,6769
Idaho,2022,9.88,6262
Idaho,2023,9.76,6874
Illinois,2019,11.26,5511
Illinois,2020,10.59,3677
Illinois,2021,10.82,3198
Illinois,2022,12.0,4049
Illinois,2023,12.23,5270
Indiana,2019,12.43,8869
Indiana,2020,11.78,8454
Indiana,2021,12.13,9902
Indiana,2022,12.68,10429
Indiana,2023,13.16,10964
Iowa,2019,10.27,9783
Iowa,2020,10.19,9647
Iowa,2021,9.73,9611
Iowa,2022,11.6,8933
Iowa,2023,11.33,8868
Kansas,2019,10.8,11351
Kansas,2020,11.06,10507
Kansas,2021,11.06,17534
Kansas,2022,11.42,11232
Kansas,2023,11.41,9865
Kentucky,2019,13.34,7954
Kentucky,2020,12.99,3926
Kentucky,2021,13.84,5417
Kentucky,2022,14.76,4009
Louisiana,2019,12.58,4710
Louisiana,2020,14.11,4744
Louisiana,2021,13.64,5089
Louisiana,2022,14.68,5604
Louisiana,2023,16.06,5372
Maine,2019,10.6,11336
Maine,2020,10.31,10985
Maine,2021,10.43,11782
Maine,2022,11.09,10619
Maine,2023,11.39,12222
Maryland,2019,11.01,17381
Maryland,2020,10.18,14258
Maryland,2021,11.07,15590
Maryland,2022,11.95,16373
Maryland,2023,12.22,17212
Massachusetts,2019,8.41,7710
Massachusetts,2020,8.77,7162
Massachusetts,2021,8.93,7658
Massachusetts,2022,10.47,11002
Massachusetts,2023,9.83,9502
Michigan,2019,11.11,10498
Michigan,2020,12.29,7255
Michigan,2021,10.79,9397
Michigan,2022,11.64,10042
Michigan,2023,12.41,9947
Minnesota,2019,8.81,15517
Minnesota,2020,8.8,15822
Minnesota,2021,9.01,15932
Minnesota,2022,10.18,16791
Minnesota,2023,10.48,16137
Mississippi,2019,14.82,5113
Mississippi,2020,14.64,6469
Mississippi,2021,15.23,4416
Mississippi,2022,15.34,4226
Mississippi,2023,16.97,4050
Missouri,2019,10.33,7290
Missouri,2020,10.78,9184
Missouri,2021,11.28,12245
Missouri,2022,11.72,7416
Missouri,2023,12.34,7196
Montana,2019,7.6,6489
Montana,2020,9.05,6307
Montana,2021,8.9,6235
Montana,2022,8.42,7037
Montana,2023,9.44,7132
Nebraska,2019,10.16,15849
Nebraska,2020,9.88,14782
Nebraska,2021,9.64,14899
Nebraska,2022,10.79,7463
Nebraska,2023,10.56,12875
Nevada,2019,10.92,2775
Nevada,2020,11.06,2474
Nevada,2021,11.54,2734
Nevada,2022,10.06,3181
Nevada,2023,11.93,2641
New Hampshire,2019,9.22,5850
New Hampshire,2020,8.85,6427
New Hampshire,2021,8.68,6524
New Hampshire,2022,9.74,6745
New Hampshire,2023,9.76,6949
New Jersey,2020,9.98,11350
New Jersey,2021,10.27,7933
New Jersey,2022,10.85,8193
New Jersey,2023,10.49,9306
New Mexico,2019,12.26,5964
New Mexico,2020,12.45,6997
New Mexico,2021,13.17,6357
New Mexico,2022,12.58,4747
New Mexico,2023,12.53,3217
New York,2019,10.52,14191
New York,2020,10.32,14716
New York,2021,11.43,38978
New York,2022,11.3,17752
New York,2023,10.64,17312
North Carolina,2019,11.84,4277
North Carolina,2020,12.36,5830
North Carolina,2021,12.71,4932
North Carolina,2022,12.13,4492
North Carolina,2023,12.38,4081
North Dakota,2019,8.89,5528
North Dakota,2020,9.91,4466
North Dakota,2021,9.53,5899
North Dakota,2022,9.56,4144
North Dakota,2023,9.54,5738
Ohio,2019,11.98,13509
Ohio,2020,12.37,14648
Ohio,2021,12.57,14276
Ohio,2022,13.05,16451
Ohio,2023,13.18,13351
Oklahoma,2019,12.22,6314
Oklahoma,2020,12.95,5030
Oklahoma,2021,12.85,5440
Oklahoma,2022,13.29,5754
Oklahoma,2023,12.42,6701
Oregon,2019,8.59,6101
Oregon,2020,9.5,5414
Oregon,2021,9.59,5364
Oregon,2022,10.33,5744
Oregon,2023,10.88,6222
Pennsylvania,2019,10.8,6599
Pennsylvania,2020,11.42,5534
Pennsylvania,2021,11.08,6402
Pennsylvania,2022,11.47,4569
Puerto Rico,2019,16.69,6022
Puerto Rico,2020,15.75,4931
Puerto Rico,2021,16.75,4000
Puerto Rico,2022,17.74,5494
Puerto Rico,2023,19.75,4589
Rhode Island,2019,10.42,6098
Rhode Island,2020,10.34,5365
Rhode Island,2021,10.44,5595
Rhode Island,2022,11.52,5882
Rhode Island,2023,11.77,5772
South Carolina,2019,13.38,7129
South Carolina,2020,13.59,4008
South Carolina,2021,13.73,10030
South Carolina,2022,12.88,10020
South Carolina,2023,14.91,10016
South Dakota,2019,10.61,6614
South Dakota,2020,7.92,6919
South Dakota,2021,10.79,7267
South Dakota,2022,9.11,7394
South Dakota,2023,11.79,5869
Tennessee,2019,13.77,6225
Tennessee,2020,14.12,4653
Tennessee,2021,14.0,4771
Tennessee,2022,14.77,5253
Tennessee,2023,14.55,5634
Texas,2019,12.24,12267
Texas,2020,12.56,11008
Texas,2021,11.47,10786
Texas,2022,13.9,14202
Texas,2023,12.74,10035
Utah,2019,8.02,11773
Utah,2020,8.22,10906
Utah,2021,7.96,10600
Utah,2022,8.73,9809
Utah,2023,7.81,11122
Vermont,2019,8.67,6449
Vermont,2020,7.87,6526
Vermont,2021,8.51,6567
Vermont,2022,8.39,8799
Vermont,2023,9.33,7627
Virgin Islands,2021,14.91,1379
Virgin Islands,2022,15.93,1524
Virgin Islands,2023,16.61,2057
Virginia,2019,10.92,9935
Virginia,2020,11.07,9533
Virginia,2021,11.45,9858
Virginia,2022,12.75,10401
Virginia,2023,11.82,6960
Washington,2019,9.4,12974
Washington,2020,8.63,12877
Washington,2021,8.73,13126
Washington,2022,9.66,26103
Washington,2023,9.57,26401
West Virginia,2019,15.65,5290
West Virginia,2020,15.7,5875
West Virginia,2021,15.86,6734
West Virginia,2022,17.41,4973
West Virginia,2023,18.17,4330
Wisconsin,2019,8.67,4944
Wisconsin,2020,8.88,5093
Wisconsin,2021,9.12,6098
Wisconsin,2022,10.26,11244
Wisconsin,2023,11.25,12790
Wyoming,2019,7.83,4627
Wyoming,2020,8.53,4792
Wyoming,2021,8.79,4407
Wyoming,2022,9.34,4138
Wyoming,2023,10.77,4471
